Jul 20 20:06:27 <ria>	so x is the position of last trade
Jul 20 20:06:36 <ria>	a numerical value
Jul 20 20:06:51 <kushal>	sunny_slls, yes 
Jul 20 20:06:53 <ria>	you can do help(str)
Jul 20 20:07:09 <ria>	to see what find does
Jul 20 20:07:14 <ria>	arpita, ok?
Jul 20 20:07:26 <ria>	now see
Jul 20 20:07:30 <sunny_slls>	kushal,how we can find the last trade value?
Jul 20 20:07:35 <arpita>	ria, yes
Jul 20 20:07:38 <kushal>	sunny_slls, that is the problem 
Jul 20 20:07:45 <ria>	go the page source
Jul 20 20:07:58 <kushal>	sunny_slls, you are supposed to solve it, now ria is telling how she did that
Jul 20 20:08:13 <ria>	now you see
Jul 20 20:08:23 *	bose_aritra has quit (Read error: 110 (Connection timed out))
Jul 20 20:08:30 <ria>	after last trade string you will find the value
Jul 20 20:08:35 <ria>	in page source
Jul 20 20:08:53 <ria>	in between them there are lot of other things
Jul 20 20:09:00 <ria>	i mean the HTML code
Jul 20 20:09:03 <amrita>	kushal, not that module page
Jul 20 20:09:16 <ria>	arpita, did you get that?
Jul 20 20:09:36 <kushal>	amrita, there you can find it, open your eyes :)
Jul 20 20:09:49 <kishanGoyal>	got it...
Jul 20 20:10:04 <arpita>	ria,last trade value then some html code then it is written 10.81
Jul 20 20:10:05 <ria>	arpita, did you get 10.81?
Jul 20 20:10:11 <ria>	ya
Jul 20 20:10:17 <arpita>	ria,yes got it
Jul 20 20:10:25 <kishanGoyal>	10.81..yes...
Jul 20 20:10:26 <ria>	i have counted the number how far it is
Jul 20 20:10:31 <ria>	ya kishanGoyal :)
Jul 20 20:10:42 <ria>	a rough count though
Jul 20 20:11:03 <ria>	i mistakenly counted wrong
Jul 20 20:11:07 <sunny_slls>	kushal,!
Jul 20 20:11:16 <ria>	anyways the number is 52
Jul 20 20:11:31 <kushal>	sunny_slls, yes
Jul 20 20:11:37 <sunny_slls>	not understood
Jul 20 20:11:42 <ria>	i mean 52 letters in between
Jul 20 20:11:46 <ria>	arpita, ok?
Jul 20 20:12:14 <arpita>	ria,o.k
Jul 20 20:12:16 <kushal>	sunny_slls, that is the problem you are supposed to solve 
Jul 20 20:12:29 <ria>	now see the program
Jul 20 20:12:49 <ria>	12th line
Jul 20 20:13:04 <ria>	xx = x + 52
Jul 20 20:13:10 *	Prakhar (n=prakhar@122.163.71.100) has joined #dgplug
Jul 20 20:13:13 <arpita>	ria,no. of characters in between is coming to 62
Jul 20 20:13:17 <ria>	x was the position of last trade
Jul 20 20:13:18 <sunny_slls>	but i can't understand anything..
Jul 20 20:13:44 <kushal>	sunny_slls, good, so be in session or else next sessions you will not understand anything 
Jul 20 20:13:46 <ria>	arpita, i did less counting i printed and i made changes
Jul 20 20:13:58 <ria>	arpita, check that later
Jul 20 20:14:11 <ria>	when you print you will understand
Jul 20 20:14:19 <arpita>	ria,o.k
Jul 20 20:14:30 <arpita>	are blank spaces counted??
Jul 20 20:14:37 <ria>	ya
Jul 20 20:14:41 <kushal>	arpita, yes 
Jul 20 20:14:51 *	makghosh_ (n=joy@117.201.97.74) has joined #dgplug
Jul 20 20:14:53 <arpita>	o.k
Jul 20 20:15:03 <kushal>	now http://rafb.net/p/PiYp1o33.html is how I solved it 
Jul 20 20:15:16 <kushal>	first found the place for "Last Trade:" 
Jul 20 20:15:23 *	Debashree_ has quit (Read error: 110 (Connection timed out))
Jul 20 20:15:24 <ria>	so x was the last trade position
Jul 20 20:15:31 <ria>	kushal, just wait a minute
Jul 20 20:15:35 <arpita>	ria,cannot understand last line of the program
Jul 20 20:15:46 <kushal>	then took from next 53rd char to 72th one (72 is a random number) 
Jul 20 20:15:48 <kushal>	ria, ok
Jul 20 20:16:13 *	amrita_ (n=amrita@117.201.97.188) has joined #dgplug
Jul 20 20:16:23 <ria>	arpita, see xx is the position of 10.81
Jul 20 20:16:23 *	Kkhushi (n=khushbu@59.180.138.187) has joined #dgplug
Jul 20 20:16:30 <ria>	i mean it is for 1
Jul 20 20:16:42 <ria>	position of 1
Jul 20 20:16:49 <Prakhar>	kushal: me and Kkhushi did it. she'll be here in a while
Jul 20 20:16:55 <ria>	arpita, understood?
Jul 20 20:17:02 <kushal>	Prakhar, ok
Jul 20 20:17:12 <Kkhushi>	khushbu mohta
Jul 20 20:17:12 <Prakhar>	ok, Kkhushi is here
Jul 20 20:17:15 <arpita>	ria,xx is position of 10.81
Jul 20 20:17:27 <ria>	the first character
Jul 20 20:17:30 <arpita>	but what do you mean by it is for 1??
Jul 20 20:17:40 <arpita>	o.k o.k
Jul 20 20:17:41 <ria>	1 in 10
Jul 20 20:17:42 <arpita>	got it
Jul 20 20:17:56 <arpita>	it is the position of 1 of 10.81??
Jul 20 20:17:58 <ria>	so you need to print upto 1
Jul 20 20:18:05 <ria>	of 81
Jul 20 20:18:06 <arpita>	ria,yes
Jul 20 20:18:13 <ria>	so total 5 characters
Jul 20 20:18:28 <ria>	arpita, so its from xx to xx + 5
Jul 20 20:18:31 <ria>	arpita, ok?
Jul 20 20:18:42 <ria>	that's it
Jul 20 20:18:43 <arpita>	ria,yes understood now thanks a lot
Jul 20 20:18:49 <Kkhushi>	kushal, http://wiki.dgplug.org/index.php/User:Khushbu/Python_assignment
Jul 20 20:18:49 <ria>	arpita, nope
Jul 20 20:18:50 <ria>	:)
Jul 20 20:19:12 <ria>	kushal, your link?
Jul 20 20:19:32 <kushal>	is the wiki down ?
Jul 20 20:19:43 <Prakhar>	kushal: wiki is down
Jul 20 20:20:01 <kushal>	eh
Jul 20 20:20:09 <ria>	kushal, your link is not working
Jul 20 20:20:17 <ria>	kushal, can you give it again
Jul 20 20:20:18 <ria>	?
Jul 20 20:20:19 <Prakhar>	kushal: its taking too long to respond
Jul 20 20:20:31 <kushal>	yes
Jul 20 20:20:40 *	munichlinux has quit ("Ex-Chat")
Jul 20 20:20:42 <kushal>	http://rafb.net/p/PiYp1o33.html
Jul 20 20:21:50 <ria>	kushal, i said you the same thing
Jul 20 20:21:50 *	amrita has quit (Nick collision from services.)
Jul 20 20:21:55 *	amrita_ is now known as amrita
Jul 20 20:22:05 <Kkhushi>	Kushal, i did exactly the same :) http://rafb.net/p/vXMmGP75.html
Jul 20 20:22:09 <ria>	kushal, you also did until it finds </
Jul 20 20:22:14 <kushal>	ria, yes
Jul 20 20:22:25 <ria>	kushal, you said me not in that way
Jul 20 20:22:38 <sunny_slls>	kushal,understood a bit
Jul 20 20:22:45 <ria>	only i can change one line to get the desired
Jul 20 20:23:15 <kushal>	Kkhushi, your output needs to be fixed , a bit more fine tune :p
Jul 20 20:23:27 <kushal>	ria, I said your choice
Jul 20 20:23:40 <ria>	kushal, you also said me no
Jul 20 20:23:46 <ria>	'no'
Jul 20 20:24:22 <kushal>	ria, <ria> kushal, i can print untill < is encountered
Jul 20 20:24:22 <kushal>	<ria> i think that will work
Jul 20 20:24:22 <kushal>	<kushal> ria, that you decide :p
